Ep 197 | Steps: 300 | Reward: -112.84 | Loss: 0.1138 | Epsilon: 0.138 | Success: NO
Ep 198 | Steps: 300 | Reward: 34.27 | Loss: 0.1078 | Epsilon: 0.137 | Success: NO
Ep 199 | Steps: 300 | Reward: 72.91 | Loss: 0.1212 | Epsilon: 0.135 | Success: YES
Ep 200 | Steps: 300 | Reward: -13.29 | Loss: 0.1131 | Epsilon: 0.134 | Success: NO
Ep 201 | Steps: 300 | Reward: 33.54 | Loss: 0.1119 | Epsilon: 0.133 | Success: NO
Ep 202 | Steps: 300 | Reward: -25.55 | Loss: 0.1223 | Epsilon: 0.131 | Success: NO
Ep 203 | Steps: 300 | Reward: 2.16 | Loss: 0.1051 | Epsilon: 0.130 | Success: NO
Ep 204 | Steps: 300 | Reward: 17.99 | Loss: 0.1091 | Epsilon: 0.129 | Success: NO
Ep 205 | Steps: 300 | Reward: -24.34 | Loss: 0.1028 | Epsilon: 0.127 | Success: NO
Ep 206 | Steps: 300 | Reward: 7.15 | Loss: 0.1148 | Epsilon: 0.126 | Success: NO
Ep 207 | Steps: 300 | Reward: -0.26 | Loss: 0.1084 | Epsilon: 0.125 | Success: NO
Ep 208 | Steps: 300 | Reward: -8.21 | Loss: 0.1016 | Epsilon: 0.124 | Success: NO
Ep 209 | Steps: 300 | Reward: 19.23 | Loss: 0.1105 | Epsilon: 0.122 | Success: NO
Ep 210 | Steps: 300 | Reward: -19.17 | Loss: 0.1061 | Epsilon: 0.121 | Success: NO
Ep 211 | Steps: 300 | Reward: -17.39 | Loss: 0.1056 | Epsilon: 0.120 | Success: NO
Ep 212 | Steps: 300 | Reward: -0.03 | Loss: 0.0968 | Epsilon: 0.119 | Success: NO
Ep 213 | Steps: 300 | Reward: 12.89 | Loss: 0.1040 | Epsilon: 0.118 | Success: NO
Ep 214 | Steps: 300 | Reward: 14.79 | Loss: 0.0949 | Epsilon: 0.116 | Success: NO
Ep 215 | Steps: 300 | Reward: -18.25 | Loss: 0.1054 | Epsilon: 0.115 | Success: NO
Ep 216 | Steps: 300 | Reward: 1.21 | Loss: 0.1158 | Epsilon: 0.114 | Success: NO
Ep 217 | Steps: 300 | Reward: 468.25 | Loss: 0.0887 | Epsilon: 0.113 | Success: YES
Ep 218 | Steps: 300 | Reward: -2.34 | Loss: 0.1123 | Epsilon: 0.112 | Success: NO
Ep 219 | Steps: 300 | Reward: -13.82 | Loss: 0.1088 | Epsilon: 0.111 | Success: NO
Ep 220 | Steps: 300 | Reward: -16.05 | Loss: 0.1171 | Epsilon: 0.110 | Success: NO
Ep 221 | Steps: 300 | Reward: 36.97 | Loss: 0.1085 | Epsilon: 0.108 | Success: NO
Ep 222 | Steps: 300 | Reward: 6.09 | Loss: 0.1036 | Epsilon: 0.107 | Success: NO
Ep 223 | Steps: 45 | Reward: -70.30 | Loss: 0.0957 | Epsilon: 0.106 | Success: NO
Ep 224 | Steps: 300 | Reward: -3.17 | Loss: 0.1171 | Epsilon: 0.105 | Success: NO
Ep 225 | Steps: 300 | Reward: -28.93 | Loss: 0.1031 | Epsilon: 0.104 | Success: NO
Ep 226 | Steps: 300 | Reward: -8.55 | Loss: 0.1062 | Epsilon: 0.103 | Success: NO
Ep 227 | Steps: 300 | Reward: -14.66 | Loss: 0.1104 | Epsilon: 0.102 | Success: NO
Ep 228 | Steps: 300 | Reward: -24.08 | Loss: 0.1274 | Epsilon: 0.101 | Success: NO
Ep 229 | Steps: 300 | Reward: -18.73 | Loss: 0.1056 | Epsilon: 0.100 | Success: NO
Ep 230 | Steps: 300 | Reward: -0.87 | Loss: 0.0938 | Epsilon: 0.099 | Success: NO
Ep 231 | Steps: 300 | Reward: -3.80 | Loss: 0.1146 | Epsilon: 0.098 | Success: NO
Ep 232 | Steps: 300 | Reward: 42.38 | Loss: 0.1250 | Epsilon: 0.097 | Success: NO
Ep 233 | Steps: 300 | Reward: -5.07 | Loss: 0.1221 | Epsilon: 0.096 | Success: NO
Ep 234 | Steps: 300 | Reward: 125.78 | Loss: 0.1037 | Epsilon: 0.095 | Success: YES
Ep 235 | Steps: 300 | Reward: -165.73 | Loss: 0.1039 | Epsilon: 0.094 | Success: NO
Ep 236 | Steps: 300 | Reward: -9.68 | Loss: 0.1035 | Epsilon: 0.093 | Success: NO
Ep 237 | Steps: 42 | Reward: -5.05 | Loss: 0.1066 | Epsilon: 0.092 | Success: NO
Ep 238 | Steps: 300 | Reward: -66.34 | Loss: 0.1081 | Epsilon: 0.091 | Success: NO
Ep 239 | Steps: 300 | Reward: 90.05 | Loss: 0.1177 | Epsilon: 0.091 | Success: YES
Ep 240 | Steps: 300 | Reward: -11.10 | Loss: 0.1096 | Epsilon: 0.090 | Success: NO
Ep 241 | Steps: 300 | Reward: -39.97 | Loss: 0.1092 | Epsilon: 0.089 | Success: NO
